Sub_Category,Category,Product_Name,Total_Sales,Total_Profit,Total_Quantity,Avg_Days_to_Ship,Total_Orders
Storage,Office Supplies,"Iris 3-Drawer Stacking Bin, Black",284.11,-43.45,16,3.6666666666666665,3
Chairs,Furniture,Office Star - Ergonomically Designed Knee Chair,1311.88,-42.11,19,3.4285714285714284,7
Bookcases,Furniture,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",531.24,-41.86,4,3.5,2
Storage,Office Supplies,Safco Industrial Shelving,531.72,-41.35,8,3,4
Furnishings,Furniture,36X48 HARDFLOOR CHAIRMAT,369.25,-40.49,21,4.833333333333333,6
Binders,Office Supplies,Insertable Tab Post Binder Dividers,66.57,-39.690000000000005,25,4.125,8
Phones,Technology,Mediabridge Sport Armband iPhone 5s,257.75,-38.949999999999996,30,3.857142857142857,7
Chairs,Furniture,Global Highback Leather Tilter in Burgundy,2101.88,-38.22,28,3.375,8
Storage,Office Supplies,Safco Industrial Wire Shelving System,1783.2,-36.4,20,4.666666666666667,6
Phones,Technology,Nortel Meridian M5316 Digital phone,155.37,-36.25,1,2,1
Storage,Office Supplies,Rogers Deluxe File Chest,444.00000000000006,-34.71999999999999,22,4.5,8
Tables,Furniture,"Bush Cubix Conference Tables, Fully Assembled",138.59,-34.65,1,3,1
Furnishings,Furniture,Tenex Antistatic Computer Chair Mats,273.57,-34.2,2,5,1
Chairs,Furniture,Novimex Turbo Task Chair,1341.51,-32.66,22,4.333333333333333,6
Accessories,Technology,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",472.86,-32.26,17,3.5,4
Chairs,Furniture,Hon 4070 Series Pagoda Round Back Stacking Chairs,1123.4299999999998,-32.1,5,3,2
Phones,Technology,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,147.92,-31.990000000000002,9,5.75,4
Phones,Technology,Macally Suction Cup Mount,279.63,-31.07,26,4.25,4
Bookcases,Furniture,Hon 4-Shelf Metal Bookcases,424.12,-30.29,6,3,1
Storage,Office Supplies,Fellowes Bankers Box Recycled Super Stor/Drawer,1187.56,-30.22,24,2.5714285714285716,7
Bookcases,Furniture,O'Sullivan Living Dimensions 3-Shelf Bookcases,512.5,-30.15,3,4,1
Chairs,Furniture,Global Deluxe High-Back Office Chair in Storm,217.58,-29.92,2,3,1
Chairs,Furniture,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,579.14,-28.96,4,2,1
Storage,Office Supplies,Safco Industrial Wire Shelving,902.3,-28.8,10,5,3
Bookcases,Furniture,Sauder Cornerstone Collection Library,260.23,-27.88,10,4.5,2
Binders,Office Supplies,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",258.72,-27.169999999999998,51,3.6666666666666665,12
Storage,Office Supplies,"Tennsco Lockers, Gray",402.81000000000006,-26.429999999999996,22,4.666666666666667,6
Furnishings,Furniture,Eldon Executive Woodline II Cherry Finish Desk Accessories,32.71,-26.17,2,2,1
Bookcases,Furniture,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1753.45,-25.310000000000002,17,3.6666666666666665,6
Storage,Office Supplies,"SAFCO Commercial Wire Shelving, 72h",1445.26,-24.5,24,3,5
Phones,Technology,Anker Astro 15000mAh USB Portable Charger,599.88,-23.99,13,3.8,5
Binders,Office Supplies,GBC VeloBinder Strips,52.989999999999995,-23.81,20,2.25,4
Binders,Office Supplies,Avery Durable Slant Ring Binders,51.480000000000004,-23.760000000000005,19,4.8,5
Tables,Furniture,"Bevis Oval Conference Table, Walnut",626.35,-23.49,3,4,1
Storage,Office Supplies,Carina Media Storage Towers in Natural & Black,634.1899999999999,-23.17,11,2.6666666666666665,3
Bookcases,Furniture,O'Sullivan Living Dimensions 5-Shelf Bookcases,176.78,-22.1,1,6,1
Supplies,Office Supplies,Stiletto Hand Letter Openers,136.32,-21.990000000000002,17,4.25,4
Machines,Technology,Plantronics Single Ear Headset,29.93,-21.95,5,5,1
Binders,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",249.96999999999997,-21.729999999999997,13,4.166666666666667,6
Tables,Furniture,Chromcraft Round Conference Tables,3834.3900000000003,-20.92,28,4.333333333333333,6
Chairs,Furniture,"Global Armless Task Chair, Royal Blue",1396.44,-20.73,28,4,8
Machines,Technology,Texas Instrument TI-15 Fraction Calculator,41.910000000000004,-20.520000000000003,8,3.5,2
Phones,Technology,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,119.51000000000002,-20.519999999999996,11,3.8,5
Storage,Office Supplies,Space Solutions Industrial Galvanized Steel Shelving.,520.0799999999999,-20.49,7,2.6666666666666665,3
Bookcases,Furniture,DMI Eclipse Executive Suite Bookcases,3632.1000000000004,-20.04,9,2.75,4
Binders,Office Supplies,Accohide Poly Flexible Ring Binders,43.75000000000001,-19.830000000000005,34,2.875,8
Binders,Office Supplies,Wilson Jones Custom Binder Spines & Labels,41.349999999999994,-19.69,22,4,7
Accessories,Technology,Logitech Keyboard K120,174.24,-19.6,12,5.333333333333333,3
Machines,Technology,Okidata C610n Printer,1362.9,-19.47,3,6,1
Binders,Office Supplies,Large Capacity Hanging Post Binders,276.95,-19.459999999999994,22,3.4,5
Binders,Office Supplies,GBC Wire Binding Strips,212.66,-18.409999999999997,14,4.6,5
Binders,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,165.11,-18.269999999999996,22,3,6
Phones,Technology,Speck Products Candyshell Flip Case,188.94,-18.2,8,5.25,4
Storage,Office Supplies,Fellowes Neat Ideas Storage Cubes,480.69999999999993,-18.18,16,4.285714285714286,7
Accessories,Technology,Logitech�P710e Mobile Speakerphone,1441.95,-18.009999999999998,7,5,3
Chairs,Furniture,Office Star - Contemporary Task Swivel Chair,910.03,-17.759999999999998,11,4,4
Tables,Furniture,Anderson Hickey Conga Table Tops & Accessories,51.78,-17.51,5,2.5,2
Tables,Furniture,Hon 5100 Series Wood Tables,698.35,-17.46,3,5,1
Furnishings,Furniture,"Electrix Incandescent Magnifying Lamp, Black",117.28,-16.490000000000002,5,4,2
Machines,Technology,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,821.3,-16.43,4,5,1
Binders,Office Supplies,Avery Reinforcements for Hole-Punch Pages,28.520000000000003,-16.15,41,4.375,8
Bookcases,Furniture,O'Sullivan Plantations 2-Door Library in Landvery Oak,321.57,-16.08,2,7,1
Tables,Furniture,KI Conference Tables,1056.27,-15.600000000000001,18,2.75,4
Binders,Office Supplies,Avery Durable Poly Binders,82.95,-15.59,33,4,6
Phones,Technology,ARKON Windshield Dashboard Air Vent Car Mount Holder,216.95999999999998,-15.580000000000002,14,4.75,4
Bookcases,Furniture,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,307.67,-14.48,2,6,1
Bookcases,Furniture,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",327.73,-14.46,2,6,1
Binders,Office Supplies,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",137.81,-14.420000000000002,27,3.8333333333333335,6
Binders,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",63.64,-13.899999999999999,37,4.75,8
Tables,Furniture,"Bush Andora Conference Table, Maple/Graphite Gray Finish",512.94,-13.680000000000001,4,3.5,2
Chairs,Furniture,Novimex High-Tech Fabric Mesh Task Chair,184.55,-13.48,3,5,2
Binders,Office Supplies,XtraLife ClearVue Slant-D Ring Binders by Cardinal,72.91,-13.330000000000002,22,3,5
Binders,Office Supplies,GBC ProClick Spines for 32-Hole Punch,66.41,-13.280000000000001,12,3.2,5
Binders,Office Supplies,GBC Linen Binding Covers,164.2,-13.009999999999998,11,3.2,5
Supplies,Office Supplies,Martin-Yale Premier Letter Opener,236.99,-12.879999999999997,20,3.5714285714285716,7
Storage,Office Supplies,Fellowes Bankers Box Stor/Drawer Steel Plus,1426.31,-12.8,50,4.083333333333333,12
Storage,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",699.46,-12.719999999999999,14,5,5
Bookcases,Furniture,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.83,-12.69,1,5,1
Binders,Office Supplies,Cardinal Hold-It CD Pocket,38.3,-12.459999999999999,12,3.75,4
Binders,Office Supplies,GBC Instant Index System for Binding Systems,71.92999999999999,-12.43,19,4.2,5
Tables,Furniture,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.1200000000003,-12.14,39,4.111111111111111,9
Accessories,Technology,Case Logic 2.4GHz Wireless Keyboard,1229.76,-11.990000000000002,27,2.875,8
Phones,Technology,iOttie HLCRIO102 Car Mount,215.89,-11.990000000000002,12,3.2,5
Phones,Technology,Gear Head AU3700S Headset,189.65,-11.950000000000001,16,5,3
Binders,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",102.62,-11.869999999999997,44,4.333333333333333,12
Binders,Office Supplies,GBC Personal VeloBind Strips,156.92000000000002,-11.269999999999994,27,5.285714285714286,7
Furnishings,Furniture,Dana Swing-Arm Lamps,108.93,-11.22,15,4.285714285714286,7
Phones,Technology,Avaya 5410 Digital phone,625.5,-10.88,13,3.5,4
Tables,Furniture,Balt Solid Wood Rectangular Table,464.15999999999997,-10.549999999999997,5,3.5,2
Appliances,Office Supplies,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,91.67999999999999,-10.410000000000002,18,5.75,4
Fasteners,Office Supplies,"Alliance Super-Size Bands, Assorted Sizes",197.61,-10.36,27,4.5,4
Binders,Office Supplies,Pressboard Hanging Data Binders for Unburst Sheets,112.68,-10.129999999999999,48,4.4,10
Phones,Technology,Shocksock Galaxy S4 Armband,63.50999999999999,-10.07,7,2,3
Binders,Office Supplies,"Wilson Jones 1"" Hanging DublLock Ring Binders",117.75000000000001,-8.55,46,4,10
Tables,Furniture,Global Adaptabilities Conference Tables,674.35,-8.43,3,3,1
Storage,Office Supplies,"Carina 42""Hx23 3/4""W Media Storage Unit",1182.3,-8.100000000000001,15,4,6
Chairs,Furniture,Global Italian Leather Office Chair,183.37,-7.86,2,2,1
Supplies,Office Supplies,Acco Side-Punched Conventional Columnar Pads,41.64,-7.800000000000001,15,5,4
Storage,Office Supplies,Eldon Shelf Savers Cubes and Bins,300.14000000000004,-7.659999999999998,45,3.375,8
Furnishings,Furniture,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",262.76,-7.620000000000005,20,4,6
Storage,Office Supplies,Safco Commercial Shelving,483.71,-7.439999999999999,11,4.2,5
Machines,Technology,Lexmark 20R1285 X6650 Wireless All-in-One Printer,120,-7.2,2,3,1
Binders,Office Supplies,Avery Hidden Tab Dividers for Binding Systems,31.59,-7.039999999999999,24,4.857142857142857,7
Storage,Office Supplies,Akro Stacking Bins,91.52000000000001,-6.930000000000001,13,5,6
Bookcases,Furniture,"Sauder Mission Library with Doors, Fruitwood Finish",311.74,-6.550000000000001,3,2,2
Chairs,Furniture,Office Star - Mesh Screen back chair with Vinyl seat,1742.0300000000002,-6.549999999999997,15,4.333333333333333,6
Phones,Technology,Plantronics MX500i Earset,618.48,-6.419999999999999,15,3.4285714285714284,7
Storage,Office Supplies,Sterilite Show Offs Storage Containers,78.14,-6.34,16,4,5
Furnishings,Furniture,Telescoping Adjustable Floor Lamp,143.92,-5.990000000000002,10,3.6666666666666665,6
Binders,Office Supplies,Acco Economy Flexible Poly Round Ring Binder,11.48,-5.739999999999999,6,3.5,4
Fasteners,Office Supplies,Revere Boxed Rubber Bands by Revere,48,-5.709999999999999,29,3.1666666666666665,6
Binders,Office Supplies,UniKeep View Case Binders,28.840000000000003,-5.48,13,4.8,5
Binders,Office Supplies,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",25.82,-4.93,25,3.3333333333333335,6
Binders,Office Supplies,Acco Suede Grain Vinyl Round Ring Binder,38.64,-4.880000000000001,29,2.625,8
Storage,Office Supplies,"Rogers Jumbo File, Granite",317.77000000000004,-4.88,24,4.857142857142857,7
Bookcases,Furniture,Sauder Barrister Bookcases,388.7,-4.86,6,5,1
Furnishings,Furniture,Eldon 100 Class Desk Accessories,36.39,-4.84,18,4.5,4
Binders,Office Supplies,Insertable Tab Indexes For Data Binders,17.49,-4.830000000000001,13,3.8,5
Appliances,Office Supplies,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,1.62,-4.47,2,4,1
Binders,Office Supplies,Fellowes Black Plastic Comb Bindings,102.25999999999999,-4.419999999999995,34,4.111111111111111,9
Supplies,Office Supplies,Serrated Blade or Curved Handle Hand Letter Openers,23.86,-4.12,9,2.5,2
Chairs,Furniture,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",1545.56,-3.9300000000000015,13,2.25,4
Binders,Office Supplies,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",54.47,-3.8900000000000006,9,5.333333333333333,3
Fasteners,Office Supplies,Sterling Rubber Bands by Alliance,19.78,-3.77,5,4,2
Appliances,Office Supplies,Acco 6 Outlet Guardian Basic Surge Suppressor,38.27,-3.66,7,3,2
Supplies,Office Supplies,Acme Rosewood Handle Letter Opener,43.67,-3.4899999999999998,12,4.333333333333333,3
Bookcases,Furniture,Sauder Inglewood Library Bookcases,786.51,-3.4199999999999946,6,2.3333333333333335,3
Fasteners,Office Supplies,Plymouth Boxed Rubber Bands by Plymouth,77.24,-3.29,18,4.2,5
Binders,Office Supplies,"Fellowes Twister Kit, Gray/Clear, 3/pkg",182.52,-3.209999999999998,42,4.4,10
Binders,Office Supplies,Ibico Recycled Linen-Style Covers,78.12,-3.129999999999999,4,4,2
Storage,Office Supplies,"Belkin 19"" Center-Weighted Shelf, Gray",613.39,-2.9499999999999993,11,4.333333333333333,3
Binders,Office Supplies,GBC Standard Plastic Binding Systems Combs,55.76,-2.9300000000000015,13,4.6,5
Furnishings,Furniture,"Stacking Tray, Side-Loading, Legal, Smoke",46.59,-2.8600000000000003,16,4.25,4
Bookcases,Furniture,"Sauder Forest Hills Library, Woodland Oak Finish",1423.9,-2.8299999999999983,11,3.3333333333333335,3
Fasteners,Office Supplies,"Super Bands, 12/Pack",33.48,-2.5999999999999996,20,3.75,4
Appliances,Office Supplies,Hoover Commercial Lightweight Upright Vacuum,18.09,-2.51,8,3,2
Tables,Furniture,Hon 4060 Series Tables,783.72,-2.2300000000000004,9,3.6666666666666665,3
Binders,Office Supplies,Avery Self-Adhesive Photo Pockets for Polaroid Photos,143.01000000000002,-2.1900000000000013,41,4.2727272727272725,11
Phones,Technology,PNY Rapid USB Car Charger - Black,9.59,-2.08,2,5,1
Accessories,Technology,Kingston Digital DataTraveler 8GB USB 2.0,44.03,-2.03,9,5.666666666666667,3
Binders,Office Supplies,Computer Printout Index Tabs,11.08,-2.0199999999999996,15,4.5,4
Binders,Office Supplies,Storex Flexible Poly Binders with Double Pockets,10.829999999999998,-1.9999999999999996,9,4,3
Binders,Office Supplies,Angle-D Ring Binders,39.38,-1.9700000000000006,14,4.166666666666667,6
Machines,Technology,Penpower WorldCard Pro Card Scanner,91.48,-1.83,1,3,1
Furnishings,Furniture,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",97.81,-1.7699999999999996,8,4.5,2
Supplies,Office Supplies,Acme Serrated Blade Letter Opener,13.99,-1.75,5,4.5,2
Accessories,Technology,SanDisk Cruzer 8 GB USB Flash Drive,27.17,-1.36,4,4,1
Furnishings,Furniture,"Executive Impressions 16-1/2"" Circular Wall Clock",58.78,-1.0700000000000003,4,4,2
Binders,Office Supplies,Round Ring Binders,29.950000000000003,-0.9200000000000008,28,3.8333333333333335,6
Binders,Office Supplies,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",99.81,-0.6999999999999975,19,4.333333333333333,6
Storage,Office Supplies,Eldon Gobal File Keepers,348.22,-0.5999999999999988,24,3.5,6
Fasteners,Office Supplies,"Brites Rubber Bands, 1 1/2 oz. Box",13.07,-0.51,7,3,3
Fasteners,Office Supplies,Rubber Band Ball,58.34,-0.31000000000000005,16,3.25,4
Binders,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",62.949999999999996,-0.16000000000000014,23,3.5,4
Storage,Office Supplies,Tennsco 6- and 18-Compartment Lockers,2174.39,-7.105427357601002e-15,10,4.25,4
Chairs,Furniture,Hon Every-Day Series Multi-Task Chairs,1503.8400000000001,0,10,4.666666666666667,3
Tables,Furniture,Hon Non-Folding Utility Tables,1003.6600000000001,0,9,3.5,2
Fasteners,Office Supplies,"Alliance Big Bands Rubber Bands, 12/Pack",29.700000000000003,0,15,3.75,4
Chairs,Furniture,HON 5400 Series Task Chairs for Big and Tall,6729.41,0,12,3,3
Storage,Office Supplies,"SAFCO Commercial Wire Shelving, Black",1657.6799999999998,0,12,5,3
Storage,Office Supplies,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,2509.05,0,15,3.25,4
Storage,Office Supplies,Belkin OmniView SE Rackmount Kit,248.35999999999999,0,7,5,2
Storage,Office Supplies,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",593.57,0,2,6,1
Chairs,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",683.14,0,4,5,1
Supplies,Office Supplies,Premier Electric Letter Opener,2641.6199999999994,0.010000000000008669,24,4.125,8
Supplies,Office Supplies,Letter Slitter,10.08,0.3,4,4,2
Fasteners,Office Supplies,Bagged Rubber Bands,25.7,0.30000000000000004,21,4,5
Accessories,Technology,Sony 8GB Class 10 Micro SDHC R40 Memory Card,27.19,0.34,3,7,1
Appliances,Office Supplies,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,9.76,0.43999999999999995,6,2.5,4
Fasteners,Office Supplies,Alliance Rubber Bands,13.440000000000001,0.54,8,6.5,2
Furnishings,Furniture,Nu-Dell EZ-Mount Plastic Wall Frames,19.7,0.7900000000000005,8,0,2
Accessories,Technology,Rosewill 107 Normal Keys USB Wired Standard Keyboard,105.14000000000001,0.81,9,4.666666666666667,3
Binders,Office Supplies,Acco Expandable Hanging Binders,38.92,1.0300000000000002,11,4,4
Art,Office Supplies,Newell 337,10.5,1.18,4,3,2
Accessories,Technology,KeyTronic�KT800P2 -�Keyboard�- Black,75.1,1.2000000000000002,6,4.666666666666667,3
Appliances,Office Supplies,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",13,1.3,5,4,1
Appliances,Office Supplies,Hoover Portapower Portable Vacuum,61.83,1.3500000000000005,18,4.75,4
Appliances,Office Supplies,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",50.57,1.6299999999999988,17,4.285714285714286,7
Binders,Office Supplies,Wilson Jones Hanging Recycled Pressboard Data Binders,32.64,1.7800000000000002,4,3,2
Accessories,Technology,Imation�Clip USB�flash drive�- 8 GB,443.67999999999995,1.8899999999999997,25,5.428571428571429,7
Furnishings,Furniture,"Tensor ""Hersey Kiss"" Styled Floor Lamp",93.52999999999999,2.0799999999999996,8,3.3333333333333335,3
Art,Office Supplies,Newell 308,8.4,2.1,5,2.5,2
Supplies,Office Supplies,Kleencut Forged Office Shears by Acme United Corporation,9.57,2.29,5,5,2
Phones,Technology,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,13.86,2.29,8,2.5,2
Art,Office Supplies,Design Ebony Sketching Pencil,13.62,2.3,11,4.333333333333333,3
Binders,Office Supplies,Self-Adhesive Ring Binder Labels,22.88,2.36,11,3,4
Envelopes,Office Supplies,Grip Seal Envelopes,7.07,2.39,2,5,1
Phones,Technology,RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,239.97,2.4,3,2,1
Tables,Furniture,Hon Racetrack Conference Tables,210.01,2.63,1,1,1
Storage,Office Supplies,Woodgrain Magazine Files by Perma,69.13999999999999,2.63,24,4.666666666666667,6
Storage,Office Supplies,Plastic Stacking Crates & Casters,35.71,2.67,8,4,4
Paper,Office Supplies,Xerox 1989,7.97,2.69,2,0,1
Art,Office Supplies,4009 Highlighters,8.04,2.73,6,4,1
Appliances,Office Supplies,Belkin 7-Outlet SurgeMaster Home Series,106.18,2.79,10,4.6,5
Labels,Office Supplies,Avery 5,5.76,2.82,2,2,1
Art,Office Supplies,Newell 342,9.84,2.85,3,2,1
Art,Office Supplies,12 Colored Short Pencils,18.2,3.02,8,3,3
Art,Office Supplies,"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",7.8,3.04,4,6,2
Paper,Office Supplies,Xerox 20,6.48,3.11,1,4,1
Furnishings,Furniture,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",163.32999999999998,3.1400000000000006,15,4.666666666666667,3
Art,Office Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,7.7,3.16,2,6,1
Binders,Office Supplies,GBC Instant Report Kit,164.98,3.230000000000002,50,4.153846153846154,13
Labels,Office Supplies,Avery 484,9.22,3.34,4,6,1
Fasteners,Office Supplies,Stockwell Gold Paper Clips,8.1,3.4000000000000004,5,5,2
Binders,Office Supplies,Ibico Recycled Grain-Textured Covers,141.61,3.4499999999999957,8,3.25,4
Appliances,Office Supplies,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",56.089999999999996,3.4800000000000004,18,3.4,5
Art,Office Supplies,Newell 307,19.29,3.57,12,4.333333333333333,3
Accessories,Technology,Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,13.62,3.57,2,3,1
Tables,Furniture,Bevis Round Conference Room Tables and Bases,143.43,3.59,1,5,1
Furnishings,Furniture,Contemporary Borderless Frame,36.16,3.62,6,2.5,2
Appliances,Office Supplies,Euro Pro Shark Stick Mini Vacuum,48.78,3.66,1,5,1
Binders,Office Supplies,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,51.18000000000001,3.6600000000000015,20,5,6
Storage,Office Supplies,Eldon Jumbo ProFile Portable File Boxes Graphite/Black,36.74,3.67,3,5,1
Phones,Technology,OtterBox Defender Series Case - iPhone 5c,133.13,3.6899999999999995,5,3,2
Accessories,Technology,Maxell CD-R Discs,15.760000000000002,3.7,9,4,3
Art,Office Supplies,Pencil and Crayon Sharpener,29.34,3.7600000000000002,16,4.75,4
Art,Office Supplies,Newell 323,21.17,3.7600000000000002,14,5.666666666666667,3
Phones,Technology,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,65.34,3.91,17,4.5,6
Art,Office Supplies,Newell 313,28.21,4.2700000000000005,10,4,3
Binders,Office Supplies,Peel & Stick Add-On Corner Pockets,38.019999999999996,4.300000000000001,30,4.142857142857143,7
Paper,Office Supplies,Xerox 1922,11.95,4.33,3,5,1
Binders,Office Supplies,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",136.73000000000002,4.369999999999996,41,4,9
Art,Office Supplies,SANFORD Liquid Accent Tank-Style Highlighters,14.2,4.4,5,5.666666666666667,3
Art,Office Supplies,Boston 1900 Electric Pencil Sharpener,14.98,4.49,1,4,1
Accessories,Technology,Maxell 4.7GB DVD+R 5/Pack,11.690000000000001,4.6,13,4.6,5
Storage,Office Supplies,Rogers Profile Extra Capacity Storage Tub,518.9399999999999,4.699999999999998,32,3.857142857142857,7
Furnishings,Furniture,Contemporary Wood/Metal Frame,193.91,4.849999999999998,18,4,4
Art,Office Supplies,Newell 329,24.27,4.85,8,4.5,2
Art,Office Supplies,"Dixon Ticonderoga Maple Cedar Pencil, #2",23.330000000000002,4.91,8,3.3333333333333335,3
Paper,Office Supplies,Wirebound Voice Message Log Book,15.23,4.95,4,2,2
